word,care_hlcts,fairness_hlcts,loyalty_hlcts,authority_hlcts,sanctity_hlcts,total_seen,seen_care,seen_fairness,seen_loyalty,seen_authority,seen_sanctity,care_pos,care_neg,care_neu,care_sent,fairness_pos,fairness_neg,fairness_neu,fairness_sent,loyalty_pos,loyalty_neg,loyalty_neu,loyalty_sent,authority_pos,authority_neg,authority_neu,authority_sent,sanctity_pos,sanctity_neg,sanctity_neu,sanctity_sent,avg_pos,avg_neg,avg_neu,sum_hl,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,ind_vader,ind_comp,tag,care.virtue,fairness.virtue,loyalty.virtue,authority.virtue,sanctity.virtue,care.vice,fairness.vice,loyalty.vice,authority.vice,sanctity.vice,foundation
unified,4,4,6,2,2,99,18,18,24,25,14,0.6535,0,0.3465,0.570425,0.4285,0,0.5715,0.54875,0.5475,0.029,0.4235,0.547133333,0.4785,0,0.5215,0.6996,0.5165,0,0.4835,0.5152,0,0,0,18,0.222222222,0.222222222,0.25,0.08,0.142857143,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",0.3818,v,0.222222222,0.222222222,0.25,0.08,0.142857143,0,0,0,0,0,loyalty.virtue
kill,40,18,26,16,22,490,100,103,108,79,101,0.084225,0.5887,0.327075,-0.6956275,0.084666667,0.619611111,0.295777778,-0.796594444,0.119730769,0.549615385,0.330576923,-0.668615385,0.063625,0.5575,0.378875,-0.7517875,0.066545455,0.555272727,0.378136364,-0.684513636,0,0,0,122,0.4,0.174757282,0.240740741,0.202531646,0.217821782,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6908}",-0.6908,v,0,0,0,0,0,0.4,0.174757282,0.240740741,0.202531646,0.217821782,care.vice
waste,10,6,1,6,6,176,24,40,36,44,32,0.024,0.5842,0.3918,-0.63313,0.042166667,0.492333333,0.465666667,-0.604316667,0.123,0.717,0.16,-0.9022,0.076,0.630166667,0.293666667,-0.592533333,0.068666667,0.588333333,0.342833333,-0.609283333,0,0,0,29,0.416666667,0.15,0.027777778,0.136363636,0.1875,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4215}",-0.4215,n,0,0,0,0,0,0.416666667,0.15,0.027777778,0.136363636,0.1875,care.vice
hell,6,4,5,1,3,245,44,58,51,48,44,0.1585,0.501,0.340666667,-0.476,0.1505,0.625,0.22425,-0.731525,0.2384,0.429,0.3328,-0.37348,0,0.605,0.395,-0.6808,0.051,0.689,0.26,-0.8253,0,0,0,19,0.136363636,0.068965517,0.098039216,0.020833333,0.068181818,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6808}",-0.6808,n,0,0,0,0,0,0.136363636,0.068965517,0.098039216,0.020833333,0.068181818,care.vice
rebel,11,10,18,17,3,373,81,89,81,66,56,0.055,0.467363636,0.477545455,-0.4634,0.0266,0.3561,0.6173,-0.30249,0.049777778,0.351666667,0.598555556,-0.238816667,0.075117647,0.380176471,0.544647059,-0.249847059,0.041,0.38,0.579,-0.385866667,0,0,0,59,0.135802469,0.112359551,0.222222222,0.257575758,0.053571429,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1531}",-0.1531,n,0,0,0,0,0,0.135802469,0.112359551,0.222222222,0.257575758,0.053571429,authority.vice
confident,0,4,11,2,5,219,28,50,45,51,45,0,0,0,0,0.461,0.117,0.422,0.380225,0.646272727,0.020090909,0.333636364,0.729863636,0.6585,0,0.3415,0.60175,0.5482,0.051,0.401,0.52452,0,0,0,22,0,0.08,0.244444444,0.039215686,0.111111111,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",0.4939,a,0,0.08,0.244444444,0.039215686,0.111111111,0,0,0,0,0,loyalty.virtue
benefits,20,29,14,7,11,668,126,138,137,144,123,0.4519,0.11735,0.4308,0.389475,0.389482759,0.093344828,0.517206897,0.399941379,0.3435,0.069142857,0.587357143,0.39845,0.438857143,0.205857143,0.355428571,0.138328571,0.364818182,0.115363636,0.519818182,0.325863636,0,0,0,81,0.158730159,0.210144928,0.102189781,0.048611111,0.089430894,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3818}",0.3818,n,0.158730159,0.210144928,0.102189781,0.048611111,0.089430894,0,0,0,0,0,fairness.virtue
conflict,29,21,23,21,16,872,184,188,181,178,141,0.139724138,0.464172414,0.396103448,-0.284775862,0.104142857,0.418142857,0.477571429,-0.274457143,0.094782609,0.428782609,0.476391304,-0.345891304,0.074619048,0.478380952,0.447047619,-0.457519048,0.1505625,0.418875,0.430625,-0.25010625,0,0,0,110,0.157608696,0.111702128,0.127071823,0.117977528,0.113475177,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.3182}",-0.3182,n,0,0,0,0,0,0.157608696,0.111702128,0.127071823,0.117977528,0.113475177,care.vice
failure,19,16,18,17,15,500,105,111,93,103,88,0.107526316,0.538,0.354578947,-0.656978947,0.0925,0.47575,0.4318125,-0.5569875,0.059277778,0.541277778,0.399388889,-0.6109,0.107647059,0.499294118,0.393058824,-0.536094118,0.014,0.533333333,0.452666667,-0.670093333,0,0,0,85,0.180952381,0.144144144,0.193548387,0.165048544,0.170454545,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5106}",-0.5106,n,0,0,0,0,0,0.180952381,0.144144144,0.193548387,0.165048544,0.170454545,loyalty.vice
admit,1,4,5,1,1,107,24,22,23,25,13,0.706,0,0.294,0.7351,0.44575,0.19775,0.3565,0.0707,0.572,0,0.428,0.52354,0.265,0,0.735,0.2023,0.699,0,0.301,0.8074,0,0,0,12,0.041666667,0.181818182,0.217391304,0.04,0.076923077,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2023}",0.2023,v,0.041666667,0.181818182,0.217391304,0.04,0.076923077,0,0,0,0,0,loyalty.virtue
